pair_number,main_star_n,approx_digits,notes
1,41262186068,498,below R=5000 partial log range
2,63150957871,507,
3,68875255098,509,
4,123037305946,521,
5,124340002320,521,
6,126720185653,521,
7,193087289846,530,
